epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2581.51,1.50727,2.61666,1.43278,1.76345,0.77938,0.67955,0.76738,0.41692,0.67784,0.59502,0.61501,0.31342,1.52096,2.61269,1.26817,1.84973,0.00103288,0.00103288,0.00103288
30,2653.57,1.5057,2.62379,1.40423,1.75549,0.69531,0.7318,0.78271,0.42959,0.67249,0.61766,0.66287,0.33305,1.51419,2.52231,1.22802,1.85064,0.00101873,0.00101873,0.00101873
31,2726.68,1.52372,2.64708,1.44285,1.75898,0.72637,0.7283,0.77776,0.42748,0.63924,0.63218,0.62331,0.33151,1.46864,2.55592,1.24943,1.83145,0.00100459,0.00100459,0.00100459
32,2798.44,1.47603,2.62331,1.37461,1.73618,0.73609,0.7313,0.79459,0.42951,0.70255,0.65027,0.66442,0.33066,1.50408,2.49592,1.20211,1.85665,0.00099044,0.00099044,0.00099044
33,2870.41,1.47328,2.61008,1.38163,1.73191,0.70093,0.70172,0.75241,0.42081,0.61996,0.65502,0.61975,0.3209,1.44315,2.59463,1.27304,1.79625,0.000976293,0.000976293,0.000976293
34,2941.96,1.44808,2.5183,1.34666,1.71108,0.75259,0.69597,0.77556,0.43178,0.66537,0.63445,0.64934,0.32634,1.47088,2.46491,1.21285,1.83396,0.000962146,0.000962146,0.000962146
35,3014.88,1.44007,2.60388,1.3323,1.70286,0.73844,0.69785,0.79643,0.43299,0.64118,0.61062,0.63662,0.32401,1.51667,2.55653,1.23368,1.82747,0.000947999,0.000947999,0.000947999
36,3086.67,1.45992,2.53736,1.33095,1.71063,0.74979,0.71769,0.79806,0.44651,0.68718,0.65901,0.67734,0.33769,1.45955,2.46038,1.20432,1.8018,0.000933851,0.000933851,0.000933851
37,3158.65,1.42894,2.52489,1.32808,1.67302,0.78928,0.71819,0.80189,0.44889,0.70822,0.64125,0.67286,0.35458,1.45004,2.45482,1.18112,1.79969,0.000919704,0.000919704,0.000919704
38,3230.87,1.42464,2.48703,1.32574,1.68467,0.78171,0.73631,0.82335,0.47641,0.6866,0.66881,0.68586,0.3436,1.39672,2.4662,1.19934,1.74379,0.000905557,0.000905557,0.000905557
39,3303.05,1.41933,2.49846,1.28164,1.66236,0.76982,0.71114,0.80206,0.46237,0.71045,0.6725,0.70192,0.36476,1.36598,2.39912,1.22208,1.73019,0.00089141,0.00089141,0.00089141
40,3374.97,1.40369,2.4657,1.29152,1.65356,0.74657,0.69197,0.79498,0.45371,0.70811,0.62517,0.67762,0.3489,1.44132,2.37625,1.28886,1.76306,0.000877263,0.000877263,0.000877263
41,3446.43,1.39451,2.49895,1.27971,1.65648,0.76077,0.71172,0.80641,0.47474,0.71242,0.65133,0.67907,0.36236,1.40769,2.41245,1.13575,1.7654,0.000863116,0.000863116,0.000863116
42,3519.67,1.39516,2.43952,1.26021,1.64235,0.73894,0.75489,0.79864,0.45296,0.71211,0.68866,0.72579,0.37407,1.40178,2.36716,1.17781,1.74916,0.000848969,0.000848969,0.000848969
43,3592.27,1.36188,2.41225,1.21773,1.60994,0.77777,0.77905,0.82637,0.49446,0.72719,0.7125,0.72324,0.37658,1.35538,2.38297,1.08399,1.69832,0.000834822,0.000834822,0.000834822
44,3665.04,1.38491,2.40778,1.21404,1.62387,0.80648,0.75078,0.85454,0.49014,0.74449,0.69229,0.71338,0.36017,1.37863,2.36032,1.0886,1.71911,0.000820675,0.000820675,0.000820675
45,3737.93,1.34679,2.42071,1.24039,1.60885,0.7815,0.74107,0.81605,0.4767,0.71858,0.68275,0.70952,0.37013,1.38982,2.41882,1.10274,1.73032,0.000806528,0.000806528,0.000806528
46,3810.65,1.35354,2.43664,1.21068,1.60576,0.79978,0.78644,0.85856,0.50725,0.73356,0.73128,0.75323,0.39342,1.39515,2.32491,1.03895,1.70313,0.00079238,0.00079238,0.00079238
47,3882.84,1.3265,2.35481,1.19439,1.58932,0.78956,0.76284,0.84136,0.50738,0.71341,0.68388,0.69205,0.35994,1.32478,2.38636,1.08035,1.6782,0.000778233,0.000778233,0.000778233
48,3954.12,1.33206,2.41557,1.18638,1.58585,0.82978,0.79817,0.87911,0.53056,0.73952,0.72294,0.72875,0.38859,1.33559,2.32065,0.99778,1.67396,0.000764086,0.000764086,0.000764086
49,4026.04,1.31406,2.36562,1.16559,1.57046,0.82552,0.79687,0.87496,0.52019,0.76731,0.72482,0.74467,0.39054,1.34653,2.31111,1.02886,1.6636,0.000749939,0.000749939,0.000749939
50,4097.86,1.31909,2.33436,1.18058,1.57379,0.81654,0.76575,0.86263,0.51599,0.71191,0.71052,0.71761,0.37501,1.35439,2.41684,1.03298,1.69674,0.000735792,0.000735792,0.000735792
51,4170.1,1.32359,2.3603,1.16291,1.57527,0.81018,0.78443,0.85643,0.50626,0.77232,0.7078,0.73452,0.3875,1.3474,2.29028,1.07189,1.67048,0.000721645,0.000721645,0.000721645
52,4241.59,1.31035,2.39006,1.16459,1.57075,0.75849,0.79554,0.84985,0.51079,0.66819,0.70042,0.69037,0.35762,1.30015,2.37269,1.01446,1.64833,0.000707498,0.000707498,0.000707498
53,4313.42,1.29725,2.38501,1.15324,1.55561,0.85862,0.77879,0.88341,0.54585,0.79053,0.72323,0.76454,0.40186,1.27323,2.31913,0.97336,1.62095,0.000693351,0.000693351,0.000693351
54,4385.9,1.29978,2.31209,1.13246,1.55871,0.81384,0.80231,0.84827,0.5235,0.74967,0.73908,0.73401,0.39481,1.28428,2.35457,1.02556,1.648,0.000679204,0.000679204,0.000679204
55,4457.41,1.28573,2.34904,1.12318,1.54822,0.80258,0.79658,0.85627,0.50973,0.7429,0.73574,0.72943,0.38216,1.32282,2.34209,1.04617,1.66396,0.000665057,0.000665057,0.000665057
56,4529.32,1.26792,2.31937,1.10112,1.53694,0.84301,0.80966,0.87601,0.5331,0.74769,0.74377,0.72909,0.39342,1.28806,2.2745,0.98854,1.63088,0.000650909,0.000650909,0.000650909
57,4600.73,1.28772,2.32533,1.10175,1.5465,0.84866,0.75101,0.86248,0.52884,0.75614,0.74378,0.74622,0.40091,1.26738,2.25185,1.00987,1.63119,0.000636762,0.000636762,0.000636762
58,4674.25,1.25949,2.29899,1.06956,1.52168,0.81127,0.778,0.85692,0.51609,0.76738,0.71448,0.72597,0.38134,1.31949,2.26886,1.06791,1.66214,0.000622615,0.000622615,0.000622615
59,4745.96,1.24709,2.27187,1.07832,1.50855,0.79274,0.82008,0.87955,0.53102,0.72564,0.75253,0.74766,0.40388,1.27152,2.29845,1.00047,1.61207,0.000608468,0.000608468,0.000608468
60,4818.52,1.2458,2.25827,1.08652,1.5153,0.8063,0.82061,0.868,0.53725,0.73143,0.76464,0.71885,0.39576,1.26484,2.28736,0.97241,1.61541,0.000594321,0.000594321,0.000594321
61,4890.45,1.2417,2.28474,1.06977,1.49596,0.88559,0.80925,0.89877,0.54405,0.8026,0.71986,0.75486,0.41204,1.27865,2.27743,0.96581,1.63586,0.000580174,0.000580174,0.000580174
62,4963.26,1.23562,2.25773,1.07655,1.50755,0.84209,0.83918,0.90216,0.57506,0.7713,0.7788,0.77194,0.42008,1.23522,2.19983,0.88213,1.5784,0.000566027,0.000566027,0.000566027
63,5034.57,1.22769,2.22316,1.03758,1.48946,0.85811,0.83359,0.90424,0.56528,0.80942,0.77045,0.78319,0.41943,1.23023,2.21138,0.90717,1.57924,0.00055188,0.00055188,0.00055188
64,5105.75,1.2249,2.23686,1.01842,1.48974,0.81422,0.83184,0.89522,0.5551,0.76778,0.75622,0.76785,0.40647,1.24796,2.23062,0.92111,1.59315,0.000537733,0.000537733,0.000537733
65,5176.03,1.20649,2.2345,1.01905,1.47557,0.8415,0.85337,0.90492,0.56971,0.7574,0.76595,0.76344,0.42195,1.23049,2.20465,0.88992,1.58032,0.000523586,0.000523586,0.000523586
66,5247.58,1.20035,2.1807,1.03396,1.4724,0.87501,0.82211,0.91447,0.57186,0.80356,0.7387,0.78492,0.42469,1.23138,2.20295,0.87427,1.57207,0.000509438,0.000509438,0.000509438
67,5319.16,1.19288,2.16719,1.01651,1.46549,0.83301,0.87355,0.91094,0.58365,0.75405,0.79748,0.78111,0.42664,1.21111,2.19282,0.87246,1.55212,0.000495291,0.000495291,0.000495291
68,5390.36,1.19895,2.22072,1.02219,1.46906,0.85628,0.81504,0.89504,0.55648,0.79679,0.76268,0.7827,0.42726,1.24234,2.20343,0.88948,1.57164,0.000481144,0.000481144,0.000481144
69,5461.59,1.1878,2.14911,1.01896,1.45735,0.82958,0.84795,0.90841,0.57767,0.7635,0.78122,0.78237,0.42334,1.21799,2.22248,0.88274,1.55844,0.000466997,0.000466997,0.000466997
